Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,PlayerPictureId,PG,PM,PPTS,PTRB,PAST,PSTL,PBLK,PTO,PFGM,PFGA,P3PM,P3PA,PFTA,PFTM,POREB,PDREB,PDD,PTD
1,Precious Achiuwa,PF-C,23,TOR,55,12,20.7,3.6,7.3,0.485,0.5,2,0.269,3,5.4,0.564,1.6,2.3,0.702,1.8,4.1,6,0.9,0.6,0.5,1.1,9.2,1140,196,404,29,108,167,296,87,124,100,228,328,50,31,30,59,508,1630173,75,22.2,8.98667,6.09333,1.05333,0.48,0.57333,1.08,3.58667,7.86667,0.77333,2.12,1.04,1.68,1.88,4.21333,8.1,0
2,Steven Adams,C,29,MEM,42,42,27,3.7,6.3,0.597,0,0,0,3.7,6.2,0.599,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,8.6,1133,157,263,0,1,157,262,47,129,214,271,485,97,36,46,79,361,203500,71,28.70423,8.33803,10.8169,2.92958,0.92958,1.26761,1.64789,3.57746,6.08451,0,0,1.1831,2.85915,4.97183,5.84507,16.9,0
3,Bam Adebayo,C,25,MIA,75,75,34.6,8,14.9,0.54,0,0.2,0.083,8,14.7,0.545,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,20.4,2598,602,1114,1,12,601,1102,324,402,184,504,688,240,88,61,187,1529,1628389,76,34.80263,20.43421,9.64474,3.44737,1.14474,0.92105,2.81579,7.89474,14.34211,0,0.11842,4.64474,5.77632,2.34211,7.30263,32.2,0
4,Ochai Agbaji,SG-SF,22,UTA,59,22,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,7.9,1209,165,386,81,228,84,158,56,69,43,78,121,67,16,15,41,467,1630534,69,27.2029,10.89855,3.31884,1.49275,0.7971,0.4058,1.13043,3.7971,8.73913,1.43478,3.91304,1.86957,2.24638,1,2.31884,0,0
5,Santi Aldama,PF,22,MEM,77,20,21.8,3.2,6.8,0.47,1.2,3.5,0.353,2,3.4,0.591,1.4,1.9,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,9,1682,247,525,94,266,153,259,108,144,85,286,371,97,45,48,60,696,1630583,75,20,8.53333,4.30667,1.2,0.49333,0.50667,0.6,3,6.29333,1.2,3.2,1.33333,1.70667,1.10667,3.2,4.2,0
6,Nickeil Alexander-Walker,SG,24,MIN,59,3,15,2.2,5,0.444,1,2.7,0.384,1.2,2.3,0.515,0.7,1,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,6.2,884,131,295,61,159,70,136,40,60,15,86,101,108,32,21,55,363,1629638,65,18.6,7.78462,2.23077,2.23077,0.70769,0.4,1,2.84615,6.23077,1.30769,3.46154,0.78462,1.10769,0.30769,1.92308,1.1,0
7,Grayson Allen,SG,27,PHO,72,70,27.4,3.4,7.7,0.44,2,5.1,0.399,1.4,2.7,0.518,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1,10.4,1972,245,557,146,366,99,191,114,126,61,176,237,163,62,14,72,750,1628960,71,23,9.14085,2.74648,1.59155,0.66197,0.23944,0.64789,3.09859,6.87324,1.83099,4.60563,1.11268,1.25352,0.57746,2.16901,0,0
8,Jarrett Allen,C,24,CLE,68,68,32.6,5.9,9.2,0.644,0,0.1,0.1,5.9,9.1,0.653,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,14.3,2220,403,626,1,10,402,616,162,221,221,445,666,113,54,84,93,969,1628386,74,32.7027,14.66216,9.93243,1.5,0.71622,1.21622,1.54054,5.93243,8.97297,0.05405,0.24324,2.74324,3.7973,2.97297,6.95946,35.5,0
9,Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8,0.411,1.4,4,0.336,1.9,4,0.488,1.1,1.3,0.813,0.5,1.9,2.3,3,1.1,0.2,1.3,9,1310,201,489,83,247,118,242,65,80,28,113,141,186,67,10,81,550,fallback,63,17.50794,7.26984,2.09524,3.19048,1.49206,0.14286,0.84127,2.85714,6.1746,0.7619,2.30159,0.79365,1.11111,0.52381,1.57143,0.6,0
10,Kyle Anderson,SF-PF,29,MIN,69,46,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3,5.7,0.536,1.4,2,0.735,1,4.4,5.3,4.9,1.1,0.9,1.5,9.4,1957,252,495,43,105,209,390,100,136,66,302,368,335,78,63,103,647,203937,69,24.28986,7.97101,4.28986,3.3913,1,0.94203,1.28986,3.05797,6.3913,0.55072,1.49275,1.30435,1.7971,0.7971,3.49275,6.1,0
